Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
indeXplorer,R,10.1038/ncb3494,2017-03-31,5,https://git.embl.de/velten/indeXplorer/,"indeXplorer is a web-based App written with shiny for the explorative analysis of index-sorted, single-cell transcriptomic data.",GPL-3.0,"Interactive, Visualisation"
inferCNV,R,10.1126/science.1254257,2014-06-12,3188,https://github.com/broadinstitute/inferCNV,"Infer Copy Number Variation using Single-cell RNA-Seq Expression Data.",'-,"Variants, Visualisation"
inferCNVpy,Python,,,'-,https://github.com/icbi-lab/infercnvpy,"Infercnv is a scalable python library to infer copy number variation (CNV) events from single cell transcriptomics data. It is heavliy inspired by InferCNV, but plays nicely with scanpy and is much more scalable.",BSD-3-Clause,"Clustering, Dimensionality Reduction, Variants"
Inferelator,Python,"10.1093/bioinformatics/btac117, 10.1101/2021.05.03.442499","2022-02-21, NA",23,https://github.com/flatironinstitute/inferelator,"The Inferelator 3.0 is a package for gene regulatory network inference that is based on regularized regression",BSD-2-Clause,"Gene Networks"
infohet,R,10.1101/2020.10.01.322255,NA,1,https://github.com/mjcasy/infohet,"Package for the quantification of the information content of single-cell RNA-sequencing data-sets, and how much of this information has been explained by clustering",MIT,"Variable Genes"
InGene,R,10.1101/2023.06.19.545592,NA,0,https://github.com/cgiiitd/InGene,"Find relevant genes from tSNE and UMAP projections of scRNA-seq data",GPL-3.0,"Dimensionality Reduction, Variable Genes, Visualisation"
INSCT,Python,"10.1038/s42256-021-00361-8, 10.1101/2020.05.16.100024","2021-06-21, NA",20,https://github.com/lkmklsmn/insct,"INtegration of millions of Single Cells using batch-aware Triplet networks",MIT,Integration
INSISTC,Python,"10.1016/j.ygeno.2022.110480, 10.1101/2022.05.17.492304","2022-09, NA",1,https://hulab.ucf.edu/research/projects/INSISTC,"A computational method to incorporate gene regulatory network structure information for single-cell type classification",'-,"Classification, Gene Networks"
IntegratedLearner,R,10.1101/2022.11.06.514786,NA,0,https://github.com/himelmallick/IntegratedLearner,"Integrated machine learning for multi-omics prediction and classification",MIT,"Classification, Integration"
InterCellar,R,"10.1038/s42003-021-02986-2, 10.21203/rs.3.rs-525466/v1","2022-01-11, NA",7,https://github.com/martaint/InterCellar,"An R/Shiny app for interactive analysis and exploration of cell-cell communication based on single-cell transcriptomics data",MIT,"Gene Networks, Interactive, Visualisation"
InterCellDB,R,10.1002/advs.202200045,2022-06-02,4,https://github.com/ZJUDBlab/InterCellDB,"InterCellDB is a tool for analyzing intercellular communication on single-cell RNA sequencing (scRNA-seq) data",CC-BY-4.0,"Gene Networks"
iQcell,Python,"10.1101/2021.04.01.438014, 10.1371/journal.pcbi.1009907","NA, 2022-02-25",12,https://gitlab.com/stemcellbioengineering/iqcell,"iQcell is an integrated platform that infers, analyzes, and simulates gene regulatory networks (GRNs) from the single-cell (sc) RNA-seq data of the cells undergoing development",'-,"Gene Networks, Simulation"
IReNA,R,"10.1101/2021.11.22.469628, 10.2139/ssrn.4071022","NA, 2022",2,https://github.com/jiang-junyao/IReNA,"IReNA (Integrated Regulatory Network Analysis) is an R package to perform regulatory network analysis",GPL-3.0,"Gene Networks, Integration, Visualisation"
IRIS-FGM,R/C++,"10.1093/bioinformatics/btab108, 10.1101/2020.11.04.369108","2021-02-17, NA",3,https://github.com/BMEngineeR/IRISFGM,"Integrative scRNA-Seq Interpretation System for Functional Gene Module analysis",GPL-2.0,"Classification, Clustering, Differential Expression, Gene Networks, Visualisation"
IronThrone-GoT,Perl,"10.1038/s41586-019-1367-0, 10.1101/444687","2019-07-03, NA",177,https://github.com/landau-lab/IronThrone-GoT,"Processes GoT amplicon data and generates a table of metrics",'-,"UMIs, Variants"
iS-CellR,R,10.1093/bioinformatics/bty517,2018-07-04,18,https://github.com/immcore/iS-CellR,"iS-CellR (Interactive platform for Single-cell RNAseq) is a web-based Shiny application designed to provide a comprehensive analysis of single-cell RNA sequencing data.",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Interactive, Normalisation, Quality Control, Variable Genes, Visualisation"
iscandar,Python,,,'-,https://github.com/jarny/iscandar,"Iscandar (Interactive Single Cell Data Analysis Report) is a set of python scripts and html/javascript files used to create interactive report for single cell rna-seq analysis.",MIT,"Interactive, Visualisation"
iSEE,R,10.12688/f1000research.14966.1,2018-06-14,64,https://github.com/csoneson/iSEE,"The SummarizedExplorer package aims to provide an interactive user interface for exploring data in SummarizedExperiment objects. Particular focus will be given to single-cell data in the SingleCellExperiment derived class.",MIT,"Interactive, Visualisation"
iSMNN,R,"10.1093/bib/bbab122, 10.1101/2020.11.09.375659","2021-04-12, NA",7,https://github.com/yycunc/iSMNN,"Batch Effect Correction for Single-cell RNA-seq data via Iterative Supervised Mutual Nearest Neighbor Refinement",GPL-3.0,Integration
ISnorm,R,"10.1093/nargab/lqaa059, 10.1101/2020.07.10.198077","2020-08-18, NA",5,https://github.com/bioliyezhang/ISnorm,"Normalize single cell sequencing data through a set of constantly expressed genes across all cells",GPL-3.0,Normalisation
IsoCell,R,10.1109/TCBB.2022.3147193,2022,1,https://github.com/genemine/IsoCell,"An approach to enhance single cell clustering by integrating isoform-level expression through orthogonal projection",'-,Clustering
ISOP,R,"10.1093/bioinformatics/bty100, 10.1101/036988","2018-02-27, NA",10,https://github.com/nghiavtr/ISOP,"ISOform-level expression Patterns in single-cell RNA-sequencing data.",GPL-3.0,"Differential Expression, Expression Patterns"
iTALK,R,10.1101/507871,NA,136,https://github.com/Coolgenome/iTALK,"iTALK is an R toolkit for characterizing and illustrating intercellular communication",CC-BY-NC-ND-4.0,"Differential Expression, Gene Networks, Immune, Visualisation"
ItClust,Python,"10.1038/s42256-020-00233-7, 10.1101/2020.02.02.931139","2020-10-05, NA",72,https://github.com/jianhuupenn/ItClust,"ItClust is an Iterative Transfer learning algorithm for scRNA-seq clustering",'-,"Classification, Clustering"
iterClust,R,10.1093/bioinformatics/bty176,2018-03-22,8,https://github.com/hd2326/iterClust,"iterClust, an iterative clustering framework, which can separate more pronounced differences (e.g. A and B) in starting iterations, followed by relatively subtle differences (e.g. B1 and B2), providing a comprehensive clustering trajectory.",Custom,Clustering
ivis,Python/R,10.1038/s41598-019-45301-0,2019-06-20,49,https://github.com/beringresearch/ivis,"ivis preserves global data structures in a low-dimensional space, adds new data points to existing embeddings using a parametric mapping function, and scales linearly to hundreds of thousands of cells",Apache-2.0,"Dimensionality Reduction"
jackstraw,R,"10.1093/bioinformatics/btaa087, 10.1093/bioinformatics/btu674, 10.1101/248633","2020-03-06, 2014-10-21, NA",165,https://github.com/ncchung/jackstraw,"The jackstraw package provides a statistical test to identify variables (i.e., transcripts, genes) or observations (i.e., single cells) that are significantly associated with latent variables.",GPL-2.0,"Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Variable Genes"
JAMIE,Python,"10.1038/s42256-023-00663-z, 10.1101/2022.10.15.512388","2023-05-29, NA",2,https://github.com/daifengwanglab/JAMIE,"JAMIE: Joint Variational Autoencoders for Multimodal Imputation and Embedding",GPL-3.0,"Dimensionality Reduction, Imputation, Integration, Visualisation"
JGNsc,R/C++,"10.1101/2021.07.14.452387, 10.1111/biom.13645","NA, 2022-02-19",3,https://github.com/meichendong/JGNsc,"Joint Gene Network Construction by Single Cell RNA Sequencing Data under Multiple Conditions",GPL-3.0,"Gene Networks, Gene Sets, Simulation, Visualisation"
JIND,Python,"10.1093/bioinformatics/btac140, 10.1101/2020.10.06.327601","2022-03-07, NA",2,https://github.com/mohit1997/JIND,"JIND is a framework for automated cell-type identification based on neural networks",MIT,"Classification, Integration"
JOINT,Python,10.1186/s12864-020-07302-6,2021-01-11,3,https://github.com/wanglab-georgetown/JOINT,"JOINT performs probability-based cell-type identification and DEG analysis simultaneously without the need for imputation",Apache-2.0,"Clustering, Differential Expression, Imputation"
JSNMF_py,Python,10.1093/bib/bbac105,2022-04-04,7,https://github.com/cuhklinlab/JSNMF_py,"Joint analysis of scRNA-seq and epigenomic-seq data via semi-orthogonal nonnegative matrix factorization",MIT,"Clustering, Gene Sets, Integration, Visualisation"
JSOM,Python,10.1371/journal.pcbi.1008804,2021-03-16,3,https://github.com/hlim95/JSOM,"Jointly Evolving Self-organzing Maps",'-,"Clustering, Dimensionality Reduction, Integration"
jSRC,MATLAB,10.1093/bib/bbaa433,2021-02-03,16,https://github.com/xkmaxidian/jSRC,"Clustering scRNA-seq by joint sparse representation clustering (jSRC)",'-,Clustering
Jvis,Python,"10.1101/2021.01.10.426098, 10.1186/s13059-021-02356-5","NA, 2021-05-03",24,https://github.com/canzarlab/JVis-learn,"A generalization of t-SNE and UMAP to single-cell multimodal omics",BSD-3-Clause,"Dimensionality Reduction, Integration"
k-branches,R,"10.1093/bioinformatics/btx325, 10.1101/094532","2017-06-05, NA",10,https://github.com/theislab/kbranches,"The main idea behind the K-Branches method is to identify regions of interest (branching regions and tips) in differentiation trajectories of single cells.",GPL-3.0,Ordering
K2Taxonomer,R,"10.1093/nar/gkab552, 10.1101/2020.11.05.370197","2021-07-06, NA",5,https://github.com/montilab/K2Taxonomer,"K2Taxonomer is an R package built around a ""top-down"" recursive partitioning framework to perform unsupervised learning of nested “taxonomy-like” subgroups from high-throughput -omics data",GPL-3.0,"Clustering, Differential Expression, Gene Sets, Visualisation"
kallisto,C/C++,"10.1038/nbt.3519, 10.1038/s41587-021-00870-2, 10.1038/s41592-018-0303-9, 10.1101/2022.12.02.518832, 10.1101/258566, 10.1101/673285, arxiv/1505.02710","2016-04-04, 2021-04-01, 2019-01-21, NA, NA, NA, NA",6536,https://github.com/pachterlab/kallisto,"kallisto produces transcript-level quantification estimates for RNA-seq data. It can produce transript compatibility count estimates for scRNA-seq data.",BSD-2-Clause,"Quantification, UMIs"
kana,JavaScript,10.1101/2022.03.02.482701,NA,2,https://github.com/jkanche/kana,"kana is a web application for single-cell RNA-seq data analysis that works directly in the browser",MIT,"Classification, Clustering, Dimensionality Reduction, Interactive, Marker Genes, Normalisation, Quality Control, Variable Genes, Visualisation"
kBET,R,"10.1038/s41592-018-0254-1, 10.1101/200345","2018-12-20, NA",258,https://github.com/theislab/kBET,"An R package to provide a test for batch effects in high-dimensional single-cell RNA sequencing data.",Apache-2.0,Integration
KMD,Python,10.1101/2020.10.04.325233,NA,1,https://github.com/KaplanLab/KMDHierarchicalClustering,"A clustering method based on hierarchical clustering using KMD linkage, KMD silhouette and outlier-aware partitioning",MIT,Clustering
kmermaid,Nextflow/Python,10.1101/2021.07.09.450799,NA,4,https://github.com/nf-core/kmermaid,"Compare DNA/RNA/protein sequences on k-mer content",MIT,"Classification, Quantification"
knn_smooth,Python/R/MATLAB,10.1101/217737,NA,73,https://github.com/yanailab/knn-smoothing,"Smoothing is performed by first identifying the nearest neighbors of each cell in a step-wise fashion, based on variance-stabilized and partially smoothed expression profiles, and then aggregating their transcript counts.",'-,Imputation
KPNN,Python/R/Shell,"10.1101/794503, 10.1186/s13059-020-02100-5","NA, 2020-08-03",54,https://github.com/epigen/KPNN,"Knowledge-primed neural networks enable biologically interpretable deep learning on single-cell sequencing data",GPL-3.0,"Classification, Gene Networks"
ktest,Python/R,arxiv/2307.08509,NA,0,https://github.com/AnthoOzier/ktest,"Kernal-based testing for single-cell differential analysis",'-,"Differential Expression, Visualisation"
LAK,R,10.1109/ACCESS.2020.3008681,2020,13,https://github.com/HIT-biostatistical/LAK,"A computational pipeline for single-cell RNA-seq data clustering analysis using Lasso And K-means based feature selection method",'-,Clustering
LAmbDA,Python,"10.1093/bioinformatics/btz295, 10.1101/522474","2019-04-30, NA",28,https://github.com/tsteelejohnson91/LAmbDA,"LAmbDA is an algorithm that assigns unknown labels to datasets and trains on those labels across multiple datasets.",'-,"Classification, Integration, Variable Genes"
Lamian,R,10.1101/2021.07.10.451910,NA,8,https://github.com/Winnie09/Lamian,"Lamian: a statistical framework for differential pseudotime analysis in multiple single-cell RNA-seq",GPL-2.0,"Differential Expression, Gene Sets, Integration, Ordering, Visualisation"
LandSCENT,R,,,'-,https://github.com/ChenWeiyan/LandSCENT,"LandSCENT (Landscape Single Cell Entropy) is a R-package for the analysis of single-cell RNA-Seq data",GPL-3.0,"Dimensionality Reduction, Gene Networks, Ordering, Stem Cells, Visualisation"
LANTSA,Python,10.1101/2022.03.13.484116,NA,0,https://github.com/zccqq/LANTSA,"LANTSA is a landmark-based transferable subspace analysis tool for single-cell and spatial transcriptomics",BSD-3-Clause,"Classification, Dimensionality Reduction"
LATE,Python,"10.1007/s40484-019-0192-7, 10.1101/504977","2020-01-22, NA",38,https://github.com/audreyqyfu/LATE,"LATE leverages information of dependence between genes/cells, and recovers the missing values (zeros)",GPL-3.0,Imputation
LatentVelo,Python,10.1101/2022.08.22.504858,NA,2,https://github.com/Spencerfar/LatentVelo,"Estimating RNA velocity in a learned latent space, enabling batch correction and dynamics based embeddings",MIT,"Dimensionality Reduction, Expression Patterns, Integration, Ordering, Visualisation"
LDA_scRNAseq,Perl/R,10.1093/bib/bbad199,2023-05-23,2,https://github.com/lrjuan/LDA_scRNAseq,"A series tools, primarily aimed at applying the LDA model to single-cell RNA sequencing datasets",'-,"Clustering, Gene Sets"
leader,R,10.1101/2023.06.13.544850,NA,1,https://github.com/camlab-bioml/leader,"CelL sEletion viA aDaptivE Reweighting (LEADER) is a method to subset cells aiming to capture rare cell types with the goal of creating more balanced datasets",GPL-3.0,"Dimensionality Reduction"
LEAP,R,10.1093/bioinformatics/btw729,2016-12-19,82,https://cran.r-project.org/web/packages/LEAP/index.html,"Constructing Gene Co-Expression Networks for Single-Cell RNA-Sequencing Data Using Pseudotime Ordering.",GPL-2.0,"Gene Networks, Ordering"
learn2count,R,arxiv/2011.12044,NA,0,https://github.com/drisso/learn2count,"Structure learning of graphical models for count data",Artistic-2.0,"Dimensionality Reduction"
lemur,R/C++,10.1101/2023.03.06.531268,NA,2,https://github.com/const-ae/lemur,"The goal of lemur is to enable easy analysis of multi-condition single-cell data",GPL-3.0,"Differential Expression, Dimensionality Reduction, Visualisation"
